Year,MNO,RFNSA ID,Latitude,Longitude,NBIoT700,LTE700,LTE900,LTE1800,LTE2100,LTE2600,NR700,NR900,NR2100,NR3600
2025,Optus-TPG MOCN,2343001,-31.457291,150.900132,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2343003,-31.600102,150.788454,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2343009,-31.51381,150.666424,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2343018,-31.505106,150.017777,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2344003,-31.210391,150.821783,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2345002,-30.9296,150.8521,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2346001,-30.730415,150.648646,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2347001,-30.48762658,150.6408853,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2347012,-30.380218,150.594049,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2350001,-30.5415,151.6513,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2350002,-30.483249,151.642747,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2350006,-30.514268,151.668286,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2350012,-30.505558,151.544278,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2350014,-30.51735003,152.0245262,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2350015,-30.515533,151.649873,Y,Y,Y,Y,,Y,,,,
2025,Optus-TPG MOCN,2350020,-30.53133,151.71308,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2350024,-30.50157,151.69581,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2025,Optus-TPG MOCN,2352001,-31.067478,151.041317,Y,Y,,Y,Y,,,,,
2025,Optus-TPG MOCN,2353001,-30.945683,151.145088,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2353006,-31.03127,151.08066,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2354002,-30.97992691,151.6182846,Y,Y,Y,,,,,,,
2025,Optus-TPG MOCN,2356001,-30.623503,148.968915,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2357001,-31.05937177,149.4025765,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2357002,-31.271207,149.279076,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2357003,-31.335637,149.28686,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2358001,-30.76233229,151.3633136,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2358002,-30.632601,151.502396,Y,Y,,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2359004,-30.17092543,151.075074,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2360002,-29.771342,151.14939,Y,Y,Y,Y,Y,Y,,,,
2025,Optus-TPG MOCN,2360008,-29.872182,151.131017,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2360009,-29.78113,151.281402,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2360010,-29.441436,150.905117,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2360011,-29.25476184,150.821281,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2360021,-29.7738,151.1165,Y,Y,Y,Y,,Y,,,,
2025,Optus-TPG MOCN,2361004,-29.329455,151.11851,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2365001,-30.261392,151.683049,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2365002,-30.00831482,151.680101,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2365003,-30.333056,151.675495,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2369002,-29.903727,151.246234,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2370001,-29.61561234,151.8461934,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2370014,-29.717061,151.691695,Y,Y,,Y,,,,,,
2025,Optus-TPG MOCN,2370015,-29.74222,151.73369,Y,Y,,,,Y,,,,
2025,Optus-TPG MOCN,2371002,-29.455581,151.6053797,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2379003,-31.034928,149.965259,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2380001,-31.002191,150.261578,Y,Y,Y,Y,Y,,,,,
2025,Optus-TPG MOCN,2380003,-30.972884,150.20019,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2380005,-30.81249,150.1486,Y,Y,,,,,,,,
2025,Optus-TPG MOCN,2380013,-30.977855,150.251524,Y,Y,,Y,Y,,,,,
